"","playerID","yearID","stintID","teamID","lgID","G","AB","R","H","DOUBLE","TRIPLE","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP"
"157","youngdm01",2002,1,"DET","AL",54,201,25,57,14,0,7,27,2,0,12,39,5,2,0,1,12
"161","velarra01",2002,1,"OAK","AL",56,133,22,30,8,0,2,8,3,0,15,32,1,5,1,1,4
"162","tynerja01",2002,1,"TBA","AL",44,168,17,36,2,1,0,9,7,1,7,19,0,1,3,1,1
"163","thompry01",2002,1,"MIL","NL",62,137,16,34,9,2,8,24,1,0,7,38,0,2,0,0,7
"173","selbybi01",2002,1,"CLE","AL",65,159,15,34,7,2,6,21,0,1,15,27,2,0,0,2,4
"176","riverru01",2002,1,"TEX","AL",69,158,17,33,4,0,4,14,4,2,17,45,0,5,4,2,2
"192","matosju01",2002,1,"SDN","NL",76,185,19,44,3,0,2,19,1,1,9,33,0,2,3,1,5
"195","maciajo01",2002,2,"MON","NL",90,231,33,59,17,1,7,33,5,6,13,44,0,1,4,3,2
"196","maciajo01",2002,1,"DET","AL",33,107,10,25,4,0,0,6,3,2,8,13,0,1,4,1,4
"199","lopezlu02",2002,2,"BAL","AL",52,109,10,23,6,0,2,9,1,0,3,20,0,0,0,0,3
"201","lawrejo01",2002,1,"TOR","AL",55,150,16,27,4,0,2,15,2,1,16,38,0,2,2,4,1
"205","jenkige01",2002,1,"MIL","NL",67,243,35,59,17,1,10,29,1,2,22,60,1,6,0,1,8
"208","gutieri01",2002,1,"CLE","AL",94,353,38,97,13,0,4,38,0,1,20,48,0,7,3,1,14
"211","greerru01",2002,1,"TEX","AL",51,199,24,59,9,2,1,17,1,0,19,17,0,0,0,1,5
"212","gonzaal02",2002,1,"FLO","NL",42,151,15,34,7,1,2,18,3,1,12,32,1,4,3,2,2
"216","fletcda01",2002,1,"TOR","AL",45,127,8,28,6,0,3,22,0,0,4,13,0,0,1,3,4
"217","estalbo02",2002,1,"COL","NL",38,112,17,23,8,0,8,25,0,1,14,33,0,0,0,4,1
"220","deshide01",2002,1,"CHN","NL",67,146,20,28,6,1,3,10,10,1,21,38,2,0,6,1,0
"224","catalfr01",2002,1,"TEX","AL",68,212,42,57,16,6,3,23,9,5,25,27,0,8,3,2,3
"226","canizja01",2002,1,"MIN","AL",38,112,14,24,8,1,0,11,0,1,10,22,0,1,1,2,1
"232","bergepe01",2002,1,"MON","NL",31,123,24,23,3,2,0,7,10,3,22,44,0,0,3,0,0
"238","bautida01",2002,1,"ARI","NL",40,154,22,50,5,2,6,23,4,2,11,21,2,0,0,1,4
"251","dunstsh01",2002,1,"SFN","NL",72,147,7,34,5,0,1,9,1,0,3,33,0,1,1,1,0
"253","minorda01",2002,1,"SFN","NL",83,173,21,41,6,0,10,24,0,0,24,34,6,2,0,2,8
"254","shinjts01",2002,1,"SFN","NL",118,362,42,86,15,3,9,37,5,0,24,46,2,6,3,3,5
"256","snowjt01",2002,1,"SFN","NL",143,422,47,104,26,2,6,53,0,0,59,90,5,7,0,6,11
"257","sandere02",2002,1,"SFN","NL",140,505,75,126,23,6,23,85,18,6,47,121,3,12,0,7,10
"258","felizpe01",2002,1,"SFN","NL",67,146,14,37,4,1,2,13,0,0,6,27,1,0,0,1,2
"259","aurilri01",2002,1,"SFN","NL",133,538,76,138,35,2,15,61,1,2,37,90,0,4,3,7,15
"260","goodwto01",2002,1,"SFN","NL",78,154,23,40,5,2,1,17,16,2,14,25,0,0,3,0,3
"261","bellda01",2002,1,"SFN","NL",154,552,82,144,29,2,20,73,1,2,54,80,2,9,6,7,18
"262","benarma01",2002,1,"SFN","NL",65,123,16,34,9,2,1,13,5,1,7,26,0,1,0,0,3
"263","loftoke01",2002,2,"SFN","NL",46,180,30,48,10,3,3,9,7,3,23,22,0,1,1,0,1
"264","martira03",2002,1,"SFN","NL",72,181,26,49,10,2,4,25,2,0,14,26,2,4,0,1,1
"266","santibe01",2002,1,"SFN","NL",126,478,56,133,24,5,16,74,4,2,27,73,8,2,3,7,19
"267","torreyo01",2002,1,"SFN","NL",53,136,17,38,10,0,2,14,0,0,14,20,2,2,3,0,11
"268","kentje01",2002,1,"SFN","NL",152,623,102,195,42,2,37,108,5,1,52,101,3,4,0,3,20
"269","bondsba01",2002,1,"SFN","NL",143,403,117,149,31,2,46,110,9,2,198,47,68,9,0,2,4
"304","hubbatr01",2002,1,"SDN","NL",89,129,16,27,5,0,1,7,9,6,14,28,0,0,0,1,3
"306","lampkto01",2002,1,"SDN","NL",104,281,32,61,10,1,10,37,4,2,38,59,7,3,1,4,4
"307","gonzawi01",2002,1,"SDN","NL",56,164,16,36,8,1,1,20,0,0,27,24,3,1,0,2,10
"308","jimenda01",2002,1,"SDN","NL",87,321,39,77,11,4,3,33,4,2,34,63,1,0,0,2,10
"309","lankfra01",2002,1,"SDN","NL",81,205,20,46,7,1,6,26,2,2,30,61,3,2,1,2,3
"310","gantro01",2002,1,"SDN","NL",102,309,58,81,14,1,18,59,4,6,36,59,1,2,1,5,8
"311","trammbu01",2002,1,"SDN","NL",133,403,54,98,16,1,17,56,1,3,53,71,2,3,3,3,6
"312","cruzde01",2002,1,"SDN","NL",151,514,49,135,28,2,7,47,2,3,22,58,2,3,3,5,20
"313","burrose01",2002,1,"SDN","NL",63,192,18,52,5,1,1,11,2,0,12,30,1,1,1,0,6
"314","vazqura01",2002,1,"SDN","NL",128,423,50,116,21,5,2,32,7,2,45,79,3,1,3,2,6
"315","nevinph01",2002,1,"SDN","NL",107,407,53,116,16,0,12,57,4,0,38,87,4,1,0,4,12
"316","kingsge01",2002,2,"SDN","NL",89,216,27,60,10,3,2,28,9,2,20,47,0,3,3,1,5
"317","kotsama01",2002,1,"SDN","NL",153,578,82,169,27,7,17,61,11,9,59,89,0,3,2,4,10
"319","kleskry01",2002,1,"SDN","NL",146,540,90,162,39,1,29,95,6,2,76,86,11,4,1,4,7
"342","izturce01",2002,1,"LAN","NL",135,439,43,102,24,2,1,31,7,7,14,39,1,0,10,5,12
"345","beltrad01",2002,1,"LAN","NL",159,587,70,151,26,5,21,75,7,5,37,96,4,4,1,6,17
"347","grudzma01",2002,1,"LAN","NL",150,536,56,145,23,0,9,50,4,1,22,89,4,3,1,4,17
"348","karroer01",2002,1,"LAN","NL",142,524,52,142,26,1,13,73,4,2,37,74,1,6,0,6,11
"350","grissma02",2002,1,"LAN","NL",111,343,57,95,21,4,17,60,5,1,22,68,2,2,0,4,6
"351","roberda07",2002,1,"LAN","NL",127,422,63,117,14,7,3,34,45,10,48,51,0,2,6,1,1
"352","loducpa01",2002,1,"LAN","NL",149,580,74,163,38,1,10,64,3,1,34,31,2,10,4,4,20
"353","jordabr01",2002,1,"LAN","NL",128,471,65,134,27,3,18,80,2,2,34,86,3,6,0,4,10
"354","greensh01",2002,1,"LAN","NL",158,582,110,166,31,1,42,114,8,5,93,112,22,5,0,5,26
"355","coraal01",2002,1,"LAN","NL",115,258,37,75,14,4,5,28,7,2,26,38,4,7,2,0,3
"356","hanseda01",2002,1,"LAN","NL",96,120,15,35,6,0,2,17,1,0,14,22,3,0,0,1,2
"378","littlma01",2002,1,"COL","NL",61,105,20,21,5,2,0,5,2,1,13,28,0,4,1,0,1
"379","agbaybe01",2002,1,"COL","NL",48,117,10,24,5,0,4,19,1,0,10,35,0,0,0,1,4
"381","nortogr01",2002,1,"COL","NL",113,168,19,37,8,1,7,37,2,3,24,52,0,0,1,2,4
"382","shumpte01",2002,1,"COL","NL",106,234,30,55,12,1,6,21,4,1,21,41,0,4,5,4,9
"383","uribeju01",2002,1,"COL","NL",155,566,69,136,25,7,6,49,9,2,34,120,1,5,7,6,17
"384","ortizjo02",2002,1,"COL","NL",65,192,22,48,7,1,1,12,2,0,16,30,0,3,2,2,3
"387","butlebr02",2002,1,"COL","NL",113,344,55,89,18,4,9,42,2,6,10,40,3,5,4,4,6
"388","bennega01",2002,1,"COL","NL",90,291,26,77,10,2,4,26,1,3,15,45,2,6,2,0,10
"390","alomasa02",2002,2,"COL","NL",38,116,8,31,4,0,0,12,0,0,4,19,0,0,0,0,6
"391","pierrju01",2002,1,"COL","NL",152,592,90,170,20,5,1,35,47,12,31,52,0,9,8,0,7
"392","zeileto01",2002,1,"COL","NL",144,506,61,138,23,0,18,87,1,1,66,92,3,1,0,7,27
"393","hollato01",2002,1,"COL","NL",95,298,39,88,21,1,11,48,7,8,26,71,4,1,1,2,8
"395","kaplega01",2002,2,"COL","NL",40,119,12,37,4,3,2,17,6,2,8,23,0,1,0,0,2
"398","heltoto01",2002,1,"COL","NL",156,553,107,182,39,4,30,109,5,1,99,91,21,5,0,10,10
"400","paytoja01",2002,2,"COL","NL",47,170,36,57,14,4,8,28,3,3,8,20,0,3,0,0,3
"402","walkela01",2002,1,"COL","NL",136,477,95,161,40,4,26,104,6,5,65,73,6,7,0,4,8
"424","barajro01",2002,1,"ARI","NL",70,154,12,36,10,0,3,23,1,0,10,25,4,3,2,3,4
"425","guilljo01",2002,1,"ARI","NL",54,131,13,30,4,0,4,15,3,4,7,25,1,2,0,1,7
"427","delluda01",2002,1,"ARI","NL",97,229,34,56,11,2,7,29,2,4,28,55,5,1,0,3,7
"429","milleda02",2002,1,"ARI","NL",101,297,40,74,22,0,11,42,0,0,38,88,5,3,2,0,14
"430","gracema01",2002,1,"ARI","NL",124,298,43,75,19,0,7,48,2,0,46,30,6,1,0,3,5
"432","durazer01",2002,1,"ARI","NL",76,222,46,58,12,2,16,48,0,1,49,60,2,2,0,3,1
"433","willima04",2002,1,"ARI","NL",60,215,29,56,7,2,12,40,3,1,21,41,1,0,0,2,8
"434","womacto01",2002,1,"ARI","NL",153,590,90,160,23,5,5,57,29,12,46,80,2,4,6,6,9
"435","counscr01",2002,1,"ARI","NL",112,436,63,123,22,1,2,51,7,5,45,52,3,1,4,3,10
"437","finlest01",2002,1,"ARI","NL",150,505,82,145,24,4,25,89,16,4,65,73,7,3,1,3,10
"438","moellch01",2002,1,"ARI","NL",37,105,10,30,11,1,2,16,0,1,17,23,3,0,1,0,6
"439","gonzalu01",2002,1,"ARI","NL",148,524,90,151,19,3,28,103,9,2,97,76,8,5,0,7,12
"440","spiveju01",2002,1,"ARI","NL",143,538,103,162,34,6,16,78,11,6,65,100,5,16,1,6,10
"441","colbrgr01",2002,1,"ARI","NL",72,171,30,57,16,2,10,27,0,0,13,19,1,0,0,1,5
"442","mccraqu01",2002,1,"ARI","NL",123,349,60,108,27,8,3,40,5,4,32,68,0,2,13,4,3
"464","perezed01",2002,1,"SLN","NL",96,154,22,31,9,0,10,26,0,0,17,36,0,3,1,2,7
"468","difelmi01",2002,1,"SLN","NL",70,174,17,40,11,0,4,19,0,0,17,42,3,1,2,3,4
"470","mathemi01",2002,1,"SLN","NL",110,315,31,77,12,1,3,35,1,3,32,49,6,2,8,6,3
"471","cairomi01",2002,1,"SLN","NL",108,184,28,46,9,2,2,23,1,1,13,36,2,3,6,2,5
"472","robinke02",2002,1,"SLN","NL",124,181,27,47,7,4,1,15,7,4,11,29,3,0,2,1,1
"473","drewjd01",2002,1,"SLN","NL",135,424,61,107,19,1,18,56,8,2,57,104,4,8,3,4,4
"474","marreel01",2002,1,"SLN","NL",131,397,63,104,19,1,18,66,14,2,40,72,11,0,5,4,5
"475","martiti02",2002,1,"SLN","NL",150,511,63,134,25,1,21,75,3,2,58,71,9,2,1,4,12
"476","vinafe01",2002,1,"SLN","NL",150,622,75,168,29,5,1,54,17,11,44,36,2,18,1,7,11
"477","rolensc01",2002,2,"SLN","NL",55,205,37,57,8,4,14,44,3,2,20,34,2,4,0,0,10
"478","polanpl01",2002,1,"SLN","NL",94,342,47,97,19,1,5,27,3,1,12,27,1,4,9,0,12
"479","renteed01",2002,1,"SLN","NL",152,544,77,166,36,2,11,83,22,7,49,57,7,4,7,5,17
"480","edmonji01",2002,1,"SLN","NL",144,476,96,148,31,2,28,83,4,3,86,134,14,8,0,6,9
"481","pujolal01",2002,1,"SLN","NL",157,590,118,185,40,2,34,127,2,4,72,69,13,9,0,4,20
"500","benjami01",2002,1,"PIT","NL",108,120,7,18,2,1,0,3,0,4,7,31,0,1,1,1,5
"505","hermach01",2002,1,"PIT","NL",65,194,22,40,11,1,7,15,7,5,17,68,0,1,3,1,1
"506","brownad01",2002,1,"PIT","NL",91,208,20,45,10,2,1,21,10,6,19,34,0,1,3,1,5
"507","hyzduad01",2002,1,"PIT","NL",59,155,24,36,6,0,11,34,0,0,21,44,0,1,0,2,1
"508","nunezab01",2002,1,"PIT","NL",112,253,28,59,14,1,2,15,3,4,27,44,1,2,3,1,2
"509","ramirar01",2002,1,"PIT","NL",142,522,51,122,26,0,18,71,2,0,29,95,3,8,0,11,17
"510","mackoro01",2002,1,"PIT","NL",136,385,57,94,22,0,16,48,9,3,42,120,5,7,3,2,0
"511","youngke01",2002,1,"PIT","NL",146,468,60,115,26,1,16,51,4,6,50,101,2,4,0,3,13
"513","wilsoja02",2002,1,"PIT","NL",147,527,77,133,22,4,4,47,5,2,37,74,2,4,17,1,7
"514","wilsocr03",2002,1,"PIT","NL",131,368,48,97,16,1,16,57,2,3,32,116,0,21,1,2,10
"515","reesepo01",2002,1,"PIT","NL",119,421,46,111,25,0,4,50,12,1,41,81,4,3,5,5,4
"516","riosar01",2002,1,"PIT","NL",76,208,20,55,11,0,1,24,1,1,16,39,1,1,0,1,8
"518","kendaja01",2002,1,"PIT","NL",145,545,59,154,25,3,3,44,15,8,49,29,1,9,0,2,11
"519","gilesbr02",2002,1,"PIT","NL",153,497,95,148,37,5,38,103,15,6,135,74,24,7,0,5,10
"547","bakopa01",2002,1,"MIL","NL",87,234,24,55,8,1,4,20,0,2,20,46,3,0,3,0,4
"548","belliro01",2002,1,"MIL","NL",104,289,30,61,13,0,3,26,2,3,18,46,0,1,6,3,9
"551","stairma01",2002,1,"MIL","NL",107,270,41,66,15,0,16,41,2,0,36,50,4,8,0,1,7
"552","macharo01",2002,2,"MIL","NL",51,153,14,39,10,1,2,17,0,0,12,30,4,1,1,2,5
"553","sexsori01",2002,1,"MIL","NL",157,570,86,159,37,2,29,102,0,0,70,136,7,8,0,4,17
"554","loretma01",2002,1,"MIL","NL",86,217,23,58,14,0,2,19,0,0,23,32,1,5,6,1,6
"555","hammoje01",2002,1,"MIL","NL",128,448,47,115,26,5,9,41,4,5,52,86,0,2,1,7,13
"556","ochoaal01",2002,1,"MIL","NL",85,215,32,55,9,0,6,21,8,5,32,30,2,2,1,0,7
"557","younger01",2002,1,"MIL","NL",138,496,57,139,29,3,3,28,31,11,39,38,0,6,8,4,14
"558","hernajo01",2002,1,"MIL","NL",152,525,72,151,24,2,24,73,3,5,52,188,5,4,0,1,19
"559","sanchal03",2002,1,"MIL","NL",112,394,55,114,10,7,1,33,37,14,31,62,0,2,6,2,4
"561","harrile01",2002,1,"MIL","NL",122,197,23,60,8,2,3,17,4,1,14,17,1,2,1,1,4
"562","houstty01",2002,1,"MIL","NL",76,255,25,77,15,2,7,33,1,0,14,41,3,4,4,1,4
"585","ensbemo01",2002,1,"HOU","NL",49,132,14,32,7,2,3,19,2,0,18,25,0,3,0,0,8
"586","hidalri01",2002,1,"HOU","NL",114,388,54,91,17,4,15,48,6,2,43,85,1,6,0,2,13
"587","zaungr01",2002,1,"HOU","NL",76,185,18,41,7,1,3,24,1,0,12,36,1,2,2,1,4
"589","huntebr02",2002,1,"HOU","NL",98,201,32,54,16,3,3,20,5,0,16,39,0,2,1,0,3
"590","biggicr01",2002,1,"HOU","NL",145,577,96,146,36,3,15,58,16,2,50,111,2,17,9,2,15
"591","ausmubr01",2002,1,"HOU","NL",130,447,57,115,19,3,6,50,2,3,38,71,3,6,2,3,30
"592","lugoju01",2002,1,"HOU","NL",88,322,45,84,15,1,8,35,9,3,28,74,3,2,4,2,6
"593","blumge01",2002,1,"HOU","NL",130,368,45,104,20,4,10,52,2,0,49,70,5,1,1,2,8
"594","wardda01",2002,1,"HOU","NL",136,453,41,125,31,0,12,72,1,3,33,82,5,1,0,4,9
"595","merceor01",2002,1,"HOU","NL",123,251,35,72,13,3,6,30,4,0,26,50,5,0,1,3,9
"597","bagweje01",2002,1,"HOU","NL",158,571,94,166,33,2,31,98,7,3,101,130,8,10,0,9,16
"598","berkmla01",2002,1,"HOU","NL",158,578,106,169,35,2,42,128,8,4,107,118,20,4,0,3,10
"599","vizcajo01",2002,1,"HOU","NL",125,406,53,123,19,2,5,37,3,5,24,40,2,1,5,2,5
"625","booneaa01",2002,1,"CIN","NL",162,606,83,146,38,2,26,87,32,8,56,111,4,10,9,4,9
"626","branyru01",2002,2,"CIN","NL",84,217,34,53,9,1,16,39,3,1,34,86,3,2,0,2,2
"627","larkiba01",2002,1,"CIN","NL",145,507,72,124,37,2,7,47,13,4,44,57,9,3,6,7,13
"628","guilljo01",2002,2,"CIN","NL",31,109,12,27,3,0,4,16,1,1,7,18,0,1,1,0,6
"629","dunnad01",2002,1,"CIN","NL",158,535,84,133,28,2,26,71,19,9,128,170,13,9,1,3,8
"631","larueja01",2002,1,"CIN","NL",113,353,42,88,17,1,12,52,1,2,27,117,6,13,2,2,13
"632","taylore01",2002,1,"CIN","NL",135,287,41,73,15,4,9,38,11,8,14,79,3,2,5,3,6
"633","milleco01",2002,1,"CIN","NL",39,114,9,29,10,0,3,15,0,0,9,20,2,4,1,1,7
"636","caseyse01",2002,1,"CIN","NL",120,425,56,111,25,0,6,42,2,1,43,47,6,5,0,3,11
"637","griffke02",2002,1,"CIN","NL",70,197,17,52,8,0,8,23,1,2,28,39,6,3,0,4,6
"639","encarju01",2002,1,"CIN","NL",83,321,43,89,11,2,16,51,9,4,26,63,0,1,3,3,7
"640","walketo04",2002,1,"CIN","NL",155,612,79,183,42,3,11,64,8,5,50,81,7,3,7,3,9
"641","kearnau01",2002,1,"CIN","NL",107,372,66,117,24,3,13,56,6,3,54,81,3,6,0,3,11
"662","hundlto01",2002,1,"CHN","NL",92,266,32,56,8,0,16,35,0,0,32,80,3,3,1,1,6
"663","brownro01",2002,1,"CHN","NL",111,204,14,43,12,0,3,23,2,2,23,50,0,3,0,1,4
"665","girarjo01",2002,1,"CHN","NL",90,234,19,53,10,1,1,13,1,0,16,35,3,0,5,1,10
"666","stynech01",2002,1,"CHN","NL",98,195,25,47,9,1,5,26,1,1,21,29,1,1,5,3,5
"667","gonzaal01",2002,1,"CHN","NL",142,513,58,127,27,5,18,61,5,3,46,136,7,3,4,2,11
"669","hillbo01",2002,1,"CHN","NL",59,190,26,48,7,2,4,20,6,1,17,42,4,4,4,0,0
"670","bellhma01",2002,1,"CHN","NL",146,445,86,115,24,4,27,56,7,5,76,144,3,6,2,0,6
"671","patteco01",2002,1,"CHN","NL",153,592,71,150,30,5,14,54,18,3,19,142,1,8,4,5,8
"672","muellbi02",2002,1,"CHN","NL",103,353,51,94,19,4,7,37,0,0,51,41,2,0,4,5,8
"673","aloumo01",2002,1,"CHN","NL",132,484,50,133,23,1,15,61,8,0,47,61,4,0,0,3,15
"674","mcgrifr01",2002,1,"CHN","NL",146,523,67,143,27,2,30,103,1,2,63,99,6,4,0,5,13
"678","sosasa01",2002,1,"CHN","NL",150,556,122,160,19,2,49,108,2,0,103,144,15,3,0,4,14
"701","ledeeri01",2002,1,"PHI","NL",96,203,33,46,13,1,8,23,1,2,35,50,0,1,1,1,3
"704","giambje01",2002,2,"PHI","NL",82,156,32,38,10,0,12,28,0,1,52,54,2,1,1,0,1
"706","glanvdo01",2002,1,"PHI","NL",138,422,49,105,16,3,6,29,19,2,25,57,4,2,8,3,5
"707","rolliji01",2002,1,"PHI","NL",154,637,82,156,33,10,11,60,31,13,54,103,3,4,6,4,14
"708","anderma02",2002,1,"PHI","NL",145,539,64,139,30,6,8,48,5,1,42,71,14,5,2,4,16
"709","perezto03",2002,1,"PHI","NL",92,212,22,53,13,1,5,20,1,0,21,40,6,1,2,1,5
"710","leetr01",2002,1,"PHI","NL",153,536,55,142,26,2,13,70,5,3,54,104,10,0,0,2,12
"711","rolensc01",2002,1,"PHI","NL",100,375,52,97,21,4,17,66,5,2,52,68,2,8,0,3,12
"712","michaja01",2002,1,"PHI","NL",81,105,16,28,10,3,2,11,1,1,13,33,1,1,0,2,1
"713","liebemi01",2002,1,"PHI","NL",130,476,46,133,29,2,15,52,0,1,38,58,2,14,0,2,16
"714","burrepa01",2002,1,"PHI","NL",157,586,96,165,39,2,37,116,1,0,89,153,9,3,0,6,16
"716","polanpl01",2002,2,"PHI","NL",53,206,28,61,13,1,4,22,2,2,14,14,0,4,4,0,3
"717","abreubo01",2002,1,"PHI","NL",157,572,102,176,50,6,20,85,31,12,104,117,9,3,0,6,11
"718","prattto02",2002,1,"PHI","NL",39,106,14,33,11,0,3,16,2,0,24,28,6,4,0,2,3
"745","mcewijo01",2002,1,"NYN","NL",105,196,22,39,8,1,3,26,4,4,9,50,0,3,3,3,0
"748","burnije01",2002,1,"NYN","NL",154,479,65,103,15,0,19,54,10,7,58,135,5,10,1,2,11
"749","valenjo02",2002,1,"NYN","NL",114,208,18,50,15,0,3,30,0,0,22,37,0,10,0,2,6
"750","wilsova01",2002,1,"NYN","NL",74,163,19,40,7,0,5,26,0,1,5,32,0,8,2,0,4
"751","vaughmo01",2002,1,"NYN","NL",139,487,67,126,18,0,26,72,0,1,59,145,6,10,0,2,15
"752","ordonre01",2002,1,"NYN","NL",144,460,53,117,25,2,1,42,2,2,24,46,11,2,9,4,19
"753","cedenro01",2002,1,"NYN","NL",149,511,65,133,19,2,7,41,25,4,42,92,1,2,5,2,10
"755","alomaro01",2002,1,"NYN","NL",149,590,73,157,24,4,11,53,16,4,57,83,4,1,6,1,12
"756","perezti01",2002,1,"NYN","NL",136,444,52,131,27,6,8,47,10,6,23,36,2,2,10,2,10
"757","paytoja01",2002,1,"NYN","NL",87,275,33,78,6,3,8,31,4,1,21,34,0,1,2,1,8
"758","piazzmi01",2002,1,"NYN","NL",135,478,69,134,23,2,33,98,0,3,57,82,9,3,0,3,26
"760","wiggity01",2002,1,"NYN","NL",46,116,18,35,8,0,6,18,2,1,8,19,0,2,0,1,4
"763","alfoned01",2002,1,"NYN","NL",135,490,78,151,26,0,16,56,6,0,62,55,8,7,0,3,5
"783","stevele01",2002,1,"MON","NL",63,205,28,39,6,1,10,31,1,0,39,57,5,0,0,1,4
"788","tatisfe01",2002,1,"MON","NL",114,381,43,87,18,1,15,55,2,2,35,90,1,8,1,5,15
"790","trubych01",2002,1,"MON","NL",35,105,12,27,5,2,2,7,1,1,5,27,1,1,1,0,2
"791","galaran01",2002,1,"MON","NL",104,292,30,76,12,0,9,40,2,2,30,81,6,9,0,3,8
"792","barremi01",2002,1,"MON","NL",117,376,41,99,20,1,12,49,6,3,40,65,7,1,6,5,14
"793","cabreor01",2002,1,"MON","NL",153,563,64,148,43,1,7,56,25,7,48,53,4,2,9,4,16
"794","wilkebr01",2002,1,"MON","NL",153,507,92,135,27,8,20,59,7,8,81,161,7,5,6,4,5
"795","cordewi01",2002,2,"MON","NL",66,143,21,39,9,0,6,29,2,0,17,26,0,2,0,4,3
"796","schnebr01",2002,1,"MON","NL",73,207,21,57,19,2,5,29,1,2,21,41,8,0,2,2,7
"797","chaveen01",2002,1,"MON","NL",36,125,20,37,8,5,1,9,3,5,5,16,0,0,7,1,0
"798","oleartr01",2002,1,"MON","NL",97,273,27,78,12,2,3,37,1,2,34,47,5,3,4,0,6
"800","vidrojo01",2002,1,"MON","NL",152,604,103,190,43,3,19,96,2,1,60,70,1,3,11,3,12
"802","guerrvl01",2002,1,"MON","NL",161,614,106,206,37,2,39,111,40,20,84,70,32,6,0,5,20
"824","castrra01",2002,1,"FLO","NL",54,101,11,24,4,0,6,18,0,0,14,24,3,0,1,3,4
"825","johnsch04",2002,1,"FLO","NL",83,244,18,53,19,0,6,36,0,0,31,61,7,0,1,4,10
"826","wilsopr01",2002,1,"FLO","NL",141,510,80,124,22,2,23,65,20,11,58,140,3,9,2,3,17
"827","foxan01",2002,1,"FLO","NL",133,435,55,109,14,5,4,41,31,7,49,94,6,10,5,3,9
"828","encarju01",2002,2,"FLO","NL",69,263,34,69,11,3,8,34,12,5,20,50,0,3,0,4,11
"829","owenser01",2002,1,"FLO","NL",131,385,44,104,15,5,4,37,26,9,31,33,1,0,8,1,11
